Date,Open,High,Low,Close,Volume
19-Aug-11,6.80,6.88,6.75,6.82,100886
18-Aug-11,7.08,0.00,6.31,6.80,408714
17-Aug-11,7.08,7.34,6.75,6.84,685876
16-Aug-11,7.16,0.00,7.00,7.04,307361
15-Aug-11,7.16,7.40,7.02,7.02,831253
12-Aug-11,7.20,7.20,0.00,7.07,334163
11-Aug-11,7.00,7.20,6.40,7.00,1453778
10-Aug-11,6.25,6.75,6.05,6.50,1159633
9-Aug-11,5.53,6.25,5.30,6.05,1267211
8-Aug-11,6.00,6.35,5.58,5.72,1551526
5-Aug-11,6.20,0.00,6.00,6.22,1162570
4-Aug-11,7.10,7.25,6.36,6.55,1315678
3-Aug-11,7.26,7.38,7.05,7.06,907316
2-Aug-11,7.25,7.50,7.25,7.50,355616
1-Aug-11,7.45,7.45,7.25,7.40,486281
29-Jul-11,7.44,7.44,7.32,7.44,269128
28-Jul-11,7.25,7.50,7.25,7.32,1006742
27-Jul-11,7.44,7.44,7.26,7.39,491118
26-Jul-11,7.60,7.75,7.30,7.43,812941
25-Jul-11,7.88,8.06,7.50,7.60,899044
22-Jul-11,8.05,8.06,7.88,7.88,173717
21-Jul-11,8.08,8.08,7.86,8.05,185437
20-Jul-11,8.03,8.09,7.32,8.09,1792265
19-Jul-11,8.16,8.16,7.86,8.00,909472
18-Jul-11,8.16,8.35,8.00,8.16,252834
15-Jul-11,8.20,8.39,8.15,8.38,325173
14-Jul-11,8.29,8.38,8.00,8.30,854500
13-Jul-11,8.55,8.55,8.28,8.29,207546
12-Jul-11,8.56,0.00,8.35,8.50,1124660
11-Jul-11,8.56,8.69,8.50,8.53,399522
8-Jul-11,8.56,8.70,8.53,8.67,133172
7-Jul-11,8.56,8.75,8.55,8.56,363964
6-Jul-11,8.77,8.94,8.75,8.75,226688
5-Jul-11,9.00,0.00,8.75,8.80,504342
4-Jul-11,8.88,9.25,8.88,9.04,465096
1-Jul-11,8.86,9.20,0.00,8.88,920440
30-Jun-11,8.45,9.12,0.00,9.02,1961685
29-Jun-11,8.34,8.45,8.30,8.34,642068
28-Jun-11,8.39,8.45,8.34,8.42,112296
27-Jun-11,8.52,0.00,8.30,8.39,809543
24-Jun-11,8.53,8.80,8.52,8.75,629542
23-Jun-11,8.84,0.00,8.53,8.60,628767
22-Jun-11,8.96,9.12,8.82,8.84,120009
21-Jun-11,8.59,8.96,8.59,8.96,807020
20-Jun-11,9.42,9.42,8.50,8.55,3014914
17-Jun-11,8.94,0.00,0.00,9.11,2101460
16-Jun-11,9.50,0.00,0.00,8.94,3712328
15-Jun-11,9.77,0.00,0.00,9.50,1570499
14-Jun-11,9.88,0.00,0.00,9.84,237563
13-Jun-11,10.12,0.00,0.00,9.99,446686
10-Jun-11,9.95,0.00,0.00,9.98,230630
9-Jun-11,9.88,0.00,0.00,9.95,147620
8-Jun-11,9.91,0.00,0.00,9.87,485164
7-Jun-11,9.83,0.00,0.00,9.88,575324
6-Jun-11,9.90,0.00,0.00,10.00,556220
3-Jun-11,10.05,0.00,0.00,10.00,995557
2-Jun-11,10.07,0.00,0.00,10.05,335135
1-Jun-11,10.25,0.00,0.00,10.11,938257
31-May-11,10.51,0.00,0.00,10.25,772195
27-May-11,10.67,0.00,0.00,10.50,882371
26-May-11,10.38,0.00,0.00,10.65,1742343
25-May-11,10.06,0.00,0.00,10.06,166972
24-May-11,10.29,0.00,0.00,10.25,1793490
23-May-11,10.51,0.00,0.00,10.50,27355
20-May-11,10.75,0.00,0.00,10.45,344539
19-May-11,10.76,0.00,0.00,10.80,425229
18-May-11,10.89,0.00,0.00,10.85,471108
17-May-11,10.95,0.00,0.00,10.89,535954
16-May-11,10.95,0.00,0.00,11.15,192131
13-May-11,10.75,0.00,0.00,10.62,1004142
12-May-11,10.75,0.00,0.00,11.00,1404537
11-May-11,10.75,0.00,0.00,10.75,763259
10-May-11,11.10,0.00,0.00,10.80,1120202
9-May-11,11.43,0.00,0.00,11.08,1340585
6-May-11,10.75,0.00,0.00,10.75,3134556
5-May-11,11.08,0.00,0.00,10.75,1204764
4-May-11,11.42,0.00,0.00,11.00,3898364
3-May-11,11.00,0.00,0.00,11.40,5180426
28-Apr-11,-,-,-,10.32,0
27-Apr-11,9.66,0.00,0.00,10.34,3459142
26-Apr-11,9.84,0.00,0.00,9.55,5451012
21-Apr-11,-,-,-,9.72,0
20-Apr-11,9.78,0.00,0.00,9.75,2779696
19-Apr-11,10.03,0.00,0.00,9.95,1051132
18-Apr-11,10.29,0.00,0.00,10.02,1500266
15-Apr-11,10.42,0.00,0.00,10.42,537210
14-Apr-11,10.60,0.00,0.00,10.43,461394
13-Apr-11,10.57,0.00,0.00,10.40,2150000
12-Apr-11,10.85,0.00,0.00,10.53,1202586
11-Apr-11,11.26,0.00,0.00,10.85,2291250
8-Apr-11,11.06,0.00,0.00,11.05,563706
7-Apr-11,11.19,0.00,0.00,11.15,1688808
6-Apr-11,11.19,0.00,0.00,11.25,3225746
5-Apr-11,10.80,0.00,0.00,11.16,1289188
4-Apr-11,10.86,0.00,0.00,11.14,2001924
1-Apr-11,11.00,0.00,0.00,10.85,999660
31-Mar-11,11.08,0.00,0.00,11.02,1511420
30-Mar-11,11.20,0.00,0.00,11.03,3131518
29-Mar-11,11.10,0.00,0.00,11.00,1296610
28-Mar-11,11.07,0.00,0.00,11.15,1030690
25-Mar-11,11.30,0.00,0.00,11.25,2393388
24-Mar-11,11.29,0.00,0.00,11.24,933044
23-Mar-11,11.36,0.00,0.00,11.30,1122114
22-Mar-11,11.24,0.00,0.00,11.35,3035768
21-Mar-11,10.85,0.00,0.00,11.25,3072018
18-Mar-11,10.18,0.00,0.00,10.92,2056676
17-Mar-11,9.88,0.00,0.00,10.09,1039420
16-Mar-11,9.70,0.00,0.00,10.00,1918163
15-Mar-11,10.12,0.00,0.00,9.25,5950462
14-Mar-11,10.38,0.00,0.00,10.33,2715704
11-Mar-11,10.88,0.00,0.00,10.40,2184722
10-Mar-11,11.38,0.00,0.00,11.25,2064479
9-Mar-11,11.12,0.00,0.00,11.30,2343088
8-Mar-11,10.88,0.00,0.00,11.20,2359591
7-Mar-11,10.75,0.00,0.00,11.00,2254868
4-Mar-11,10.75,0.00,0.00,10.90,2182894
3-Mar-11,11.12,0.00,0.00,10.60,4025348
2-Mar-11,11.38,0.00,0.00,10.90,3072976
1-Mar-11,11.12,0.00,0.00,11.40,36787509
28-Feb-11,10.38,0.00,0.00,11.20,37195989
25-Feb-11,11.38,0.00,0.00,10.12,294489073
24-Feb-11,11.88,0.00,0.00,11.50,13388672
23-Feb-11,11.50,0.00,0.00,12.00,3502744
22-Feb-11,11.88,0.00,0.00,11.78,2936568
21-Feb-11,12.12,0.00,0.00,11.79,3847034
18-Feb-11,12.25,0.00,0.00,12.00,3558816
17-Feb-11,12.38,0.00,0.00,12.00,1401760
16-Feb-11,12.50,0.00,0.00,12.42,2724356
15-Feb-11,12.50,0.00,0.00,12.25,2253254
14-Feb-11,12.50,0.00,0.00,12.75,1778918
