,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AIG Position,AIG Order,AIG Filled Order,AIG Trade Price,AIG Cost to Trade,AIG PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL
2013-11-06,0.0141563,-27.3046697,100437.933,624894.52,725332.453,-258,-21,-21,74.88,2.9925,158.3475,-405,23,23,48.5,3.2545,275.4155,-7462,7115,0,30.09,0.0,-1492.4,-7060,6004,0,51.19,0.0,1200.2
2013-11-05,-0.05885315,-27.318826,106845.44,621465.4,728310.84,-237,4,0,74.94,0.0,45.03,-428,23,23,49.01,3.2315,336.4985,-7462,7003,0,29.67,0.0,-970.06,-7060,5987,0,51.18,0.0,0.0
2013-11-04,-0.591821,-27.25997285,109002.2015,620952.25,729954.4515,-237,-105,-105,74.44,17.22,-228.99,-451,-32,0,48.47,0.0,-360.8,-7462,6853,0,29.3,0.0,-4551.82,-7060,5871,0,51.39,0.0,-776.6
2013-11-01,0.14667445,-26.66815185,124076.1815,609515.77,733591.9515,-132,-62,-62,74.86,8.959,52.981,-451,439,439,48.67,58.6065,2769.4835,-7462,6851,0,29.24,0.0,1044.68,-7060,6005,0,50.92,0.0,-2400.4
2013-10-31,0.178144,-26.8148263,100306.857,629796.62,730103.477,-70,-64,-64,75.0,11.2,11.78,-890,502,0,51.92,0.0,284.8,-7462,6820,0,29.11,0.0,-1268.54,-7060,6084,0,51.15,0.0,2753.4
2013-10-30,1.0468741,-26.9929703,83684.897,635713.2,719398.097,-6,-6,-6,74.23,1.659,-6.159,-890,501,0,52.42,0.0,249.2,-7462,6803,0,29.91,0.0,6342.7,-7060,6144,0,51.76,0.0,3883.0
2013-10-29,-0.549568,-28.0398444,92579.896,631043.84,723623.736,0,0,0,76.61,0.0,0.0,-890,446,0,51.59,0.0,-729.8,-7462,6738,0,29.67,0.0,-3283.28,-7060,6096,0,51.52,0.0,-1482.6
2013-10-28,0.066876,-27.4902764,96250.016,629208.78,725458.796,0,0,0,75.58,0.0,0.0,-890,427,0,51.83,0.0,373.8,-7462,6694,0,29.14,0.0,-2387.84,-7060,6097,0,51.79,0.0,2682.8
2013-10-25,-0.399634,-27.5571524,96975.336,628846.12,725821.456,0,0,0,75.9,0.0,-0.0,-890,377,0,51.89,0.0,-44.5,-7462,6641,0,29.51,0.0,1343.16,-7060,6035,0,51.34,0.0,-5295.0
2013-10-24,-0.453334,-27.1575184,110734.936,621966.32,732701.256,0,0,0,75.0,0.0,0.0,-890,314,0,51.99,0.0,53.4,-7462,6562,0,29.21,0.0,-1268.54,-7060,5918,0,50.67,0.0,-3318.2
