,Daily Returns,Total Returns,Funds,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AEG Position,AEG Order,AEG Filled Order,AEG Trade Price,AEG Cost to Trade,AEG PnL,AIN Position,AIN Order,AIN Filled Order,AIN Trade Price,AIN Cost to Trade,AIN PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL
2014-06-11,0.1624626,-58.5015807,413858.293,414984.193,0,0.0,0,58.33,0.0,0.0,-4170,31.0,31,94.13,5.394,1624.626,0,0.0,0,8.86,0.0,0.0,0,0.0,0,37.51,0.0,-0.0,0,0.0,0,27.38,0.0,-0.0
2014-06-10,-0.23958685,-58.6640433,411343.087,413359.567,0,0.0,0,59.16,0.0,-0.0,-4201,69.0,69,94.73,14.2485,-2395.8685,0,0.0,0,8.89,0.0,0.0,0,0.0,0,37.87,0.0,-0.0,0,0.0,0,27.33,0.0,0.0
2014-06-09,-0.6318274,-58.42445645,420025.4355,415755.4355,0,0.0,0,59.0,0.0,0.0,-4270,-4.0,-4,92.7,0.594,-6318.274,0,0.0,0,8.95,0.0,0.0,0,0.0,0,37.9,0.0,0.0,0,0.0,0,27.02,0.0,0.0
2014-06-06,0.10984815,-57.79262905,419428.7895,422073.7095,0,0.0,0,58.58,0.0,0.0,-4266,21.0,21,92.84,3.1185,1098.4815,0,0.0,0,8.97,0.0,0.0,0,0.0,0,37.54,0.0,0.0,0,0.0,0,26.37,0.0,0.0
2014-06-05,-0.15624195,-57.9024772,421704.018,420975.228,0,0.0,0,57.45,0.0,0.0,-4287,51.0,51,92.31,9.4095,-1562.4195,0,0.0,0,8.92,0.0,0.0,0,0.0,0,36.5,0.0,0.0,0,0.0,0,24.48,0.0,0.0
2014-06-04,-0.4520975,-57.74623525,427135.9275,422537.6475,0,0.0,0,57.02,0.0,0.0,-4338,61.0,61,91.06,10.675,-4520.975,0,0.0,0,8.76,0.0,0.0,0,0.0,0,36.44,0.0,0.0,0,0.0,0,24.04,0.0,0.0
2014-06-03,-0.5591744,-57.29413775,432777.3225,427058.6225,0,0.0,0,56.73,0.0,0.0,-4399,-23.0,-23,89.78,4.324,-5591.744,0,0.0,0,8.73,0.0,0.0,0,0.0,0,36.55,0.0,0.0,0,0.0,0,24.41,0.0,-0.0
2014-06-02,0.271243,-56.73496335,429324.6065,432650.3665,0,0.0,0,56.96,0.0,0.0,-4376,-10.0,-10,90.57,2.09,2712.43,0,0.0,0,8.75,0.0,0.0,0,0.0,0,37.22,0.0,-0.0,0,0.0,0,24.41,0.0,0.0
2014-05-30,0.144271,-57.00620635,426838.0765,429937.9365,0,0.0,0,56.87,0.0,0.0,-4366,78.0,78,91.14,12.87,1442.71,0,0.0,0,8.71,0.0,0.0,0,0.0,0,38.04,0.0,0.0,0,0.0,0,24.41,0.0,0.0
2014-05-29,-0.7241281,-57.15047735,433294.7465,428495.2265,0,0.0,0,57.18,0.0,0.0,-4444,-6.0,-6,89.69,0.861,-7241.281,0,0.0,0,8.71,0.0,0.0,0,0.0,0,37.96,0.0,0.0,0,0.0,0,24.48,0.0,0.0
2014-05-28,0.1050402,-56.42634925,434449.4875,435736.5075,0,0.0,0,56.41,0.0,0.0,-4438,66.0,66,89.43,11.418,1050.402,0,0.0,0,8.71,0.0,0.0,0,0.0,0,37.8,0.0,-0.0,0,0.0,0,24.86,0.0,0.0
2014-05-27,-0.6055694,-56.53138945,440991.7055,434686.1055,0,0.0,0,56.31,0.0,0.0,-4504,-4504.0,-4504,87.98,716.136,-7021.736,0,0.0,0,8.7,0.0,0.0,0,0.0,0,37.48,0.0,0.0,0,-12628.0,-12628,24.8,1559.558,966.042
2014-05-23,0.454608,-55.92582005,130092.9995,440741.7995,0,0.0,0,55.65,0.0,0.0,0,0.0,0,86.75,0.0,0.0,0,0.0,0,8.57,0.0,0.0,0,0.0,0,36.92,0.0,0.0,12628,0.0,0,24.36,0.0,4546.08
2014-05-22,0.025256,-56.38042805,130092.9995,436195.7195,0,0.0,0,55.0,0.0,0.0,0,0.0,0,86.66,0.0,0.0,0,0.0,0,8.52,0.0,0.0,0,0.0,0,36.69,0.0,0.0,12628,0.0,0,24.23,0.0,252.56
2014-05-21,-0.01278025,-56.40568405,130092.9995,435943.1595,0,0.0,0,54.58,0.0,0.0,0,0.0,0,86.26,0.0,0.0,0,0.0,0,8.66,0.0,0.0,0,0.0,0,36.48,0.0,0.0,12628,-203.0,-203,24.37,29.9425,-127.8025
2014-05-20,-0.7957243,-56.3929038,125175.832,436070.962,0,0.0,0,54.87,0.0,-0.0,0,0.0,0,86.36,0.0,0.0,0,0.0,0,8.66,0.0,0.0,0,0.0,0,36.75,0.0,-0.0,12831,34.0,34,24.79,4.063,-7957.243
2014-05-19,0.0364774,-55.5971795,126022.755,444028.205,0,0.0,0,54.9,0.0,0.0,0,0.0,0,85.41,0.0,0.0,0,0.0,0,8.42,0.0,0.0,0,0.0,0,36.21,0.0,0.0,12797,-104.0,-104,24.76,12.896,364.774
2014-05-16,-0.4394068,-55.6336569,123460.611,443663.431,0,0.0,0,54.39,0.0,0.0,0,0.0,0,84.09,0.0,0.0,0,0.0,0,8.49,0.0,-0.0,0,0.0,0,35.81,0.0,0.0,12901,-48.0,-48,25.13,6.288,-4394.068
2014-05-15,-0.2284854,-55.1942501,122260.659,448057.499,0,0.0,0,54.6,0.0,-0.0,0,0.0,0,84.96,0.0,0.0,0,0.0,0,8.65,0.0,0.0,0,0.0,0,36.0,0.0,-0.0,12949,-266.0,-266,25.16,38.304,-2284.854
2014-05-14,-0.9816508,-54.9657647,115606.403,450342.353,0,0.0,0,56.78,0.0,-0.0,0,0.0,0,84.63,0.0,0.0,0,0.0,0,8.86,0.0,-0.0,0,0.0,0,36.8,0.0,0.0,13215,-224.0,-224,26.04,30.688,-9816.508
2014-05-13,-0.82795235,-53.9841139,109804.131,460158.861,0,0.0,0,56.63,0.0,0.0,0,0.0,0,84.57,0.0,0.0,0,0.0,0,8.97,0.0,-0.0,0,0.0,0,37.1,0.0,-0.0,13439,443.0,443,26.7,72.8735,-8279.5235
2014-05-12,1.50540995,-53.15616155,121705.1045,468438.3845,0,0.0,0,55.58,0.0,0.0,0,0.0,0,83.93,0.0,0.0,0,0.0,0,8.96,0.0,0.0,0,0.0,0,35.72,0.0,0.0,12996,101.0,101,25.6,13.1805,15054.0995
