,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2015-12-16,-0.9010368,5.4506273,495443.003,501468.49,1059892.983,-216,-14,-14,41.01,1.778,-132.898,-19,9,9,111.07,2.0025,-23.3725,451,1,1,139.12,0.1845,674.9855,-654,-13,-13,750.0,11.0955,-9532.5555,3,1,1,53.04,0.1475,3.4725
2015-12-15,0.34848765,6.3516641,501185.201,494038.82,1057334.561,-202,-7,-7,40.75,0.924,-110.544,-28,6,6,111.94,1.467,57.493,450,-14,-14,137.4,2.884,854.696,-641,18,18,753.0,23.904,2683.126,2,3,3,51.85,0.4845,0.1055
2015-12-14,-0.5222736,6.00317645,500369.3045,500547.77,1063988.5945,-195,-15,-15,40.22,2.0175,-13.2675,-34,3,3,112.18,0.681,26.119,464,1,1,135.31,0.1765,630.1235,-659,0,0,741.79,0.0,-5865.1,-1,3,3,51.14,0.531,-0.611
2015-12-11,0.6169239,6.52545005,501031.7605,500229.23,1063566.9005,-180,-16,-16,40.75,2.408,180.392,-37,0,0,115.19,0.0,110.63,463,4,4,135.23,0.826,-1017.856,-659,-10,-10,741.16,7.01,6888.8,-4,2,2,51.94,0.307,7.273
2015-12-10,0.1404557,5.90852615,494226.1515,499927.91,1056936.0815,-164,-19,-19,40.96,2.7455,-47.4055,-37,-6,-6,116.04,1.383,-19.213,459,0,0,137.03,0.0,78.03,-649,-13,-13,752.85,18.9995,1392.4705,-6,-3,-3,52.89,0.525,0.675
2015-12-09,0.62863865,5.76807045,497591.7845,492546.82,1052842.5945,-145,-13,-13,41.25,1.859,26.731,-31,-8,-8,115.3,1.496,55.974,459,-5,-5,137.38,0.8825,-665.1925,-636,10,10,759.17,6.3,6869.06,-3,-4,-4,53.05,0.566,-0.186
2015-12-08,-0.02822575,5.1394318,492609.638,497660.42,1054378.648,-132,-17,-17,40.61,2.176,-65.746,-23,-3,-3,117.52,0.6075,-1.7375,464,8,8,138.28,1.44,-687.28,-646,-15,-15,757.89,11.73,476.35,1,-4,-4,53.84,0.594,-3.844
2015-12-07,0.1840813,5.16765755,493356.4855,491535.07,1048798.3555,-115,-16,-16,40.92,2.456,40.664,-20,-7,-7,118.32,2.149,7.881,456,-23,-23,140.16,5.7845,-413.2745,-631,16,16,767.77,16.392,2214.608,5,-11,-11,54.77,2.0955,-9.0655
2015-12-04,-0.86486705,4.98357625,497956.2325,492737.24,1058840.8825,-99,-16,-16,40.23,2.232,-95.002,-13,-7,-7,115.29,1.5995,-50.7595,479,-15,-15,138.09,3.405,707.435,-647,-4,-4,753.1,5.074,-9235.524,16,-8,-8,53.66,1.3,25.18
2015-12-03,0.5998996,5.8484433,483262.603,496608.99,1049782.313,-83,-20,-20,40.64,3.09,23.72,-6,-8,-8,115.24,1.612,-3.452,494,-1,-1,140.1,0.1855,-385.1055,-643,-19,-19,766.01,18.05,6378.04,24,-7,-7,54.42,1.0465,-14.2065
2015-12-02,0.2010236,5.2485437,494932.597,482381.01,1048376.007,-63,-20,-20,41.07,3.27,37.25,2,-14,-14,117.34,2.765,-4.885,495,-26,-26,140.93,4.966,-796.166,-624,36,36,768.9,43.65,2797.23,31,-11,-11,54.99,1.463,-23.193
2015-12-01,-1.50732455,5.0475201,490886.941,494905.48,1063581.701,-43,-26,-26,42.16,3.172,38.348,16,-17,-17,118.75,3.111,-10.821,521,0,0,139.58,0.0,969.06,-660,-7,-7,747.11,5.481,-16104.311,42,-7,-7,54.4,0.8715,34.4785
2015-11-30,0.5516499,6.55484465,492612.2165,489686.42,1061490.7665,-17,-27,-27,41.97,4.104,-1.554,33,-14,-14,117.99,1.967,16.723,521,-6,-6,138.61,1.08,499.98,-653,5,5,748.81,1.98,5007.25,49,-8,-8,54.34,1.06,-5.9
2015-11-27,-0.11498225,6.00319475,486714.5075,492486.68,1061216.3475,10,-30,-30,41.32,4.545,1.155,47,-17,-17,118.29,2.8135,-8.7335,527,7,7,138.0,1.0675,241.3525,-658,-8,-8,748.46,3.176,-1389.076,57,-13,-13,54.06,1.6705,5.4795
2015-11-25,-0.02729565,6.118177,490144.15,486291.0,1061188.27,40,-27,-27,40.59,4.0365,20.6035,64,-19,-19,119.21,4.0185,-52.1485,520,-11,-11,138.37,2.2165,-316.7465,-650,2,2,748.14,1.965,82.815,70,-16,-16,54.29,2.24,-7.48
2015-11-24,0.51061025,6.14547265,477877.2765,490304.0,1059029.2865,67,-22,-22,39.81,3.223,34.817,83,-14,-14,117.33,3.073,84.837,531,13,13,137.65,2.4375,82.4325,-652,-22,-22,752.0,14.179,4918.661,86,-10,-10,53.81,1.345,-14.645
