,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-07-20,-0.09502085,20.468438,383731.24,385751.37,1207091.71,-2638,-5,-5,46.96,0.6275,-79.8675,889,17,17,100.0,2.261,75.539,-1637,-32,-32,159.97,10.0,-2911.38,468,-11,-11,737.33,5.4945,1978.2155,42,57,57,44.53,7.4955,-12.7155
2016-07-19,0.1542291,20.56345885,379629.8785,383201.86,1202922.2185,-2633,-40,-40,46.67,5.08,-484.22,872,-4,-4,99.56,0.706,33.094,-1605,-4,-4,161.78,0.804,456.276,479,0,0,729.89,0.0,1523.22,-15,43,43,44.19,5.719,13.921
2016-07-18,0.7039287,20.40922975,388151.2375,378441.34,1205524.2775,-2593,13,13,46.6,1.5665,-337.7465,876,-11,-11,98.7,1.54,917.38,-1601,15,15,159.3,2.61,-123.49,479,20,20,722.71,8.68,6606.59,-58,87,87,44.28,13.8765,-23.4465
2016-07-15,0.0493006,19.70530105,390676.0305,387301.16,1196006.2005,-2606,8,8,46.96,0.916,336.584,887,-14,-14,98.92,2.569,-9.619,-1616,4,4,159.9,0.964,808.556,459,20,20,725.73,6.18,-606.68,-145,78,78,45.0,10.335,-35.835
2016-07-14,-0.1827733,19.65600045,403632.3545,389660.98,1198800.1745,-2614,64,64,46.86,8.0,-1056.26,901,29,29,97.39,4.1035,1710.7365,-1620,49,49,158.81,8.036,-3707.946,439,29,29,721.58,13.2675,1596.1625,-223,102,102,44.38,13.566,-370.426
2016-07-13,-0.34163535,19.83877375,417521.0675,402268.92,1198222.4275,-2678,112,112,46.64,16.912,292.128,872,23,23,97.41,2.967,-482.337,-1669,65,65,157.75,11.7,-1693.47,410,19,19,723.62,8.5785,-1565.7985,-325,101,101,43.33,13.736,33.124
2016-07-12,-0.42550185,20.1804091,425068.531,416443.62,1205991.971,-2790,41,41,45.77,4.961,-3172.831,849,39,39,97.17,5.694,360.456,-1734,30,30,156.0,5.31,-2990.55,391,15,15,719.12,8.4525,2101.1475,-426,97,97,42.82,11.931,-553.241
2016-07-11,0.2136849,20.60591095,435266.0995,424006.28,1206700.0195,-2831,89,89,45.61,11.9705,202.9395,810,29,29,96.75,4.118,236.852,-1764,26,26,154.6,4.576,-1542.896,376,29,29,708.05,16.3415,3470.4385,-523,126,126,42.39,16.695,-230.485
2016-07-08,-0.3085574,20.39222605,452532.7905,433779.4,1206672.8805,-2920,153,153,44.86,19.584,-3182.104,781,-13,-13,96.49,1.872,583.218,-1790,62,62,154.0,11.78,-3427.98,347,21,21,699.5,12.579,3464.171,-649,114,114,41.8,16.929,-522.879
2016-07-07,-0.09654785,20.70078345,452598.0445,451084.1,1206545.8645,-3073,66,66,44.47,10.527,143.123,794,5,5,95.7,0.8225,323.8675,-1852,-13,-13,152.75,2.9185,-423.9385,326,9,9,698.08,6.5655,-795.0155,-763,90,90,41.33,13.725,-213.515
2016-07-06,-0.2269633,20.7973313,465196.093,450517.45,1212279.803,-3139,66,66,43.65,8.976,-2262.456,789,-19,-19,94.6,2.793,415.857,-1839,40,40,151.85,6.48,-1282.19,317,8,8,689.98,4.024,1071.816,-853,55,55,40.15,8.47,-212.66
2016-07-05,0.29377705,21.0242946,453802.126,463672.6,1208824.056,-3205,-50,-50,44.31,6.225,2703.525,808,-3,-3,95.39,0.4695,-729.1695,-1879,-78,-78,151.19,13.923,1154.527,309,2,2,696.06,1.052,-1453.232,-908,0,0,41.38,0.0,1262.12
2016-07-01,0.07565555,20.73051755,463349.8455,452458.39,1208232.4955,-3155,117,117,44.36,16.4385,-773.6385,811,-33,-33,95.49,5.7255,225.8345,-1801,64,64,152.19,16.768,-1069.578,307,7,7,692.2,3.7345,2178.3355,-908,63,63,42.3,9.828,195.602
2016-06-30,-0.50869705,20.654862,463634.25,461987.14,1213937.79,-3272,17,17,43.68,2.3715,-1964.2115,844,-10,-10,94.44,1.46,1011.74,-1865,33,33,148.86,6.6495,-6211.6495,300,20,20,685.47,8.02,2361.78,-971,31,31,42.68,5.0995,-284.6295
2016-06-29,-0.75633205,21.16355905,482344.6905,462515.23,1217028.3205,-3289,158,158,43.55,23.305,-2230.675,854,-48,-48,93.97,8.448,701.532,-1898,115,115,146.5,20.1825,-5350.6625,280,24,24,683.0,11.196,1057.364,-1002,66,66,41.14,11.319,-1740.879
2016-06-28,-0.54514955,21.9198911,483689.261,481042.71,1223240.391,-3447,-117,-117,42.67,21.8205,-2903.8005,902,-30,-30,92.9,5.325,1418.575,-2013,-10,-10,144.78,3.05,-4418.85,256,38,38,678.97,20.938,2587.762,-1068,28,28,39.81,4.662,-2135.182
2016-06-27,1.1652611,22.46504065,500586.5865,481466.12,1213514.6665,-3330,0,0,43.63,0.0,6193.8,932,-93,-93,93.0,18.6465,-1323.3665,-2003,32,32,146.18,10.288,6192.102,218,30,30,671.0,26.925,-1417.605,-1096,23,23,39.58,3.5995,2007.6805
2016-06-24,2.1670072,21.29977955,482569.9455,499038.72,1204285.0255,-3330,-277,-277,44.56,31.7165,7905.8435,1025,-9,-9,92.91,1.368,-2797.578,-2035,-104,-104,149.97,25.376,17241.704,188,9,9,675.17,7.6275,-4777.5275,-1119,-140,-140,40.63,21.21,4097.63
2016-06-23,-0.7126377,19.13277235,490601.3435,480872.74,1196476.2135,-3053,25,25,46.5,3.1625,-1999.3625,1034,-78,-78,95.94,13.806,585.314,-1931,45,45,153.45,9.99,-4726.17,179,6,6,697.45,2.934,786.516,-979,31,31,43.51,4.3245,-1772.6745
2016-06-22,0.2728565,19.84541005,480182.1805,489158.4,1196252.7605,-3078,-98,-98,46.15,12.593,386.567,1112,-84,-84,96.25,15.414,-387.174,-1976,-29,-29,153.75,4.176,2220.004,173,-5,-5,699.06,3.19,275.37,-1010,-46,-46,42.87,6.302,233.798
2016-06-21,0.030496,19.57255355,477064.4855,479471.2,1195121.3655,-2980,-16,-16,46.21,2.224,-60.704,1196,-57,-57,94.94,10.089,949.551,-1947,21,21,154.16,4.3575,-872.5875,178,-1,-1,698.4,0.5535,401.0765,-964,-16,-16,43.17,2.616,-112.376
2016-06-20,-0.57099635,19.54205755,478551.3055,476586.36,1198472.0555,-2964,-24,-24,45.57,3.06,-2309.94,1253,-73,-73,96.0,12.2275,-251.5075,-1968,41,41,152.6,8.446,-3221.616,179,-7,-7,698.77,7.8295,397.7305,-948,19,19,43.46,2.6505,-324.6305
2016-06-17,-0.87827105,20.1130539,470141.669,477852.92,1203062.089,-2940,-53,-53,45.42,7.526,24.524,1326,-70,-70,96.62,12.88,-3021.7,-2009,-18,-18,150.96,3.87,-1874.04,186,-36,-36,708.65,27.702,-3556.302,-967,15,15,42.44,2.2725,-355.1925
2016-06-16,-0.3748586,20.99132495,451147.1195,468995.95,1214022.7895,-2887,-172,-172,44.72,21.328,-1300.578,1396,10,10,96.45,1.69,577.57,-1991,-97,-97,150.19,15.4715,-819.5815,222,-43,-43,714.91,16.4905,-2089.2405,-982,-16,-16,41.61,2.336,-116.756
2016-06-15,0.03482695,21.36618355,436092.2955,450200.69,1211442.8255,-2715,-105,-105,45.11,12.495,-72.945,1386,-34,-34,97.82,6.341,-437.621,-1894,-66,-66,151.46,11.187,734.933,265,-33,-33,719.0,18.7275,177.6125,-966,10,10,42.3,2.01,-53.71
2016-06-14,0.15890415,21.3313566,424753.886,435213.88,1212405.426,-2610,-147,-147,44.7,19.257,-25.497,1420,-12,-12,97.32,2.412,167.748,-1828,-47,-47,151.28,9.917,392.243,298,-37,-37,716.48,20.2205,-116.6005,-976,2,2,43.04,0.292,1171.148
2016-06-13,0.09910175,21.17245245,406050.9045,423955.13,1210047.5145,-2463,-173,-173,45.32,22.4035,1054.3965,1432,-17,-17,98.69,2.4395,-2138.4995,-1781,-85,-85,151.63,14.7475,1863.6425,335,-36,-36,716.51,20.628,-476.778,-978,-44,-44,43.23,5.984,688.256
2016-06-10,-0.05196075,21.0733507,393520.807,405201.72,1208828.307,-2290,-135,-135,45.73,15.525,1607.575,1449,-11,-11,98.53,1.9415,-1202.4415,-1696,-38,-38,152.79,5.757,1751.103,371,-29,-29,719.47,13.34,-3679.6,-934,-38,-38,44.27,4.864,1003.756
2016-06-09,0.2532323,21.12531145,382136.3045,393109.54,1212166.8445,-2155,-102,-102,45.98,12.597,99.363,1460,59,59,98.5,8.496,1054.064,-1658,-42,-42,152.92,6.405,909.875,400,-22,-22,722.87,10.989,-10.009,-896,-27,-27,45.18,3.51,479.03
2016-06-08,0.28954125,20.87207915,382870.5815,381551.35,1210371.0315,-2053,-40,-40,45.75,4.68,-825.88,1401,16,16,99.02,2.328,-128.258,-1616,15,15,153.53,2.4525,-1088.1725,422,-7,-7,723.96,2.6005,4956.4295,-869,-7,-7,45.48,0.9065,-18.7065
2016-06-07,-0.0028373,20.5825379,378756.199,381950.62,1205306.219,-2013,-67,-67,45.81,7.6715,210.4085,1385,26,26,99.25,8.242,529.638,-1631,-9,-9,153.31,1.6245,-975.0045,429,2,2,719.84,1.23,35.09,-862,2,2,46.04,0.305,171.495
2016-06-06,-0.193882,20.5853752,389339.592,376500.06,1205844.672,-1946,18,18,45.72,2.394,-274.834,1359,-21,-21,97.99,2.961,963.399,-1622,73,73,153.09,12.191,232.729,427,26,26,724.91,14.209,-2553.359,-864,26,26,45.39,4.355,-306.755
2016-06-03,-0.0199066,20.7792572,395785.122,388279.62,1208852.682,-1964,-5,-5,45.73,0.5825,352.0875,1380,-1,-1,97.79,0.1605,275.9095,-1695,39,39,152.4,6.591,1070.259,401,10,10,729.27,5.425,-3226.185,-890,-39,-39,45.11,4.797,1328.863
2016-06-02,-0.41203665,20.7991638,394699.268,394406.61,1209643.598,-1959,-17,-17,45.91,2.2525,95.0175,1381,19,19,97.6,3.0495,-1008.6495,-1734,9,9,152.59,1.6785,-1719.0585,391,9,9,732.5,3.8475,-1455.2475,-851,-27,-27,46.86,4.7385,-32.4285
2016-06-01,-0.07752165,21.21120045,404377.6545,393462.46,1212387.9345,-1942,-8,-8,45.75,0.968,-118.608,1362,-8,-8,99.02,1.432,-1914.952,-1743,84,84,153.0,14.868,2191.182,382,20,20,734.53,10.47,-586.41,-824,-63,-63,46.04,8.1585,-346.4285
2016-05-31,-0.1307865,21.2887221,408901.071,402960.66,1215000.571,-1934,-29,-29,45.79,3.596,-139.846,1370,15,15,99.6,2.4225,-662.4725,-1827,65,65,152.56,9.035,-1635.135,362,13,13,731.74,7.761,1111.919,-761,-59,-59,46.88,7.6405,17.6695
2016-05-27,0.124143,21.4195086,416723.176,407479.43,1215875.196,-1905,-24,-24,45.55,2.88,-592.47,1355,51,51,99.44,10.4295,-42.2595,-1892,86,86,152.35,14.878,-763.938,349,23,23,724.01,11.5575,2971.4325,-702,-62,-62,46.24,9.455,-331.335
2016-05-26,-0.04829995,21.2953656,431381.966,415607.48,1213987.206,-1881,21,21,45.58,2.6145,-175.2645,1304,21,21,99.68,3.8115,1025.0885,-1978,155,155,151.55,43.3225,-1505.1225,326,11,11,722.87,5.3955,-353.8955,-640,-71,-71,47.04,12.1055,526.1945
2016-05-25,-0.48403925,21.34366555,434280.5355,429768.04,1220321.0855,-1902,-47,-47,45.12,6.0865,-743.6365,1283,40,40,98.67,6.5,2169.46,-2133,116,116,148.93,22.446,-7303.906,315,4,4,720.76,3.222,1625.798,-569,-142,-142,46.19,20.448,-588.108
2016-05-24,0.2015329,21.8277048,443761.278,432770.07,1222169.038,-1855,-56,-56,44.76,6.804,-849.464,1243,25,25,97.22,4.4,1803.06,-2249,119,119,146.88,19.5755,-3496.1255,311,27,27,706.86,12.555,4846.055,-427,-153,-153,45.45,19.9665,-288.1965
2016-05-23,0.14460105,21.6261719,453725.769,442586.49,1213768.159,-1799,-56,-56,44.89,7.084,568.596,1218,40,40,95.87,5.82,1441.96,-2368,175,175,147.61,34.65,1038.99,284,22,22,706.53,17.666,-1509.046,-274,-189,-189,44.85,27.4995,-94.4895
2016-05-20,-0.3010255,21.48157085,468026.7685,452592.21,1218740.0185,-1743,-37,-37,44.86,5.254,-569.344,1178,77,77,94.64,11.8195,1155.8605,-2543,129,129,145.71,32.0565,-6032.4365,262,46,46,701.62,25.76,2382.48,-85,-210,-210,45.42,36.015,53.185
2016-05-19,0.42742325,21.78259635,487326.5035,466577.98,1214520.3035,-1706,-55,-55,44.07,7.5625,-430.7525,1101,112,112,94.64,18.592,-423.912,-2672,114,114,146.48,23.712,6513.848,216,50,50,702.36,32.425,-1181.885,125,-208,-208,45.6,45.656,-203.066
2016-05-18,0.3725508,21.3551731,499743.981,485687.09,1211526.201,-1651,-109,-109,44.45,20.2195,132.7305,989,137,137,94.16,25.2765,941.1635,-2786,90,90,147.99,18.945,1820.715,166,38,38,703.67,36.879,126.801,333,-178,-178,43.75,27.412,704.098
2016-05-17,0.03043745,20.9826223,514660.263,498456.28,1205498.163,-1542,47,47,44.96,6.0395,-2367.7195,852,139,139,94.55,32.943,-458.353,-2876,142,142,149.21,32.305,4202.155,128,36,36,715.99,26.694,-1321.974,511,-148,-148,43.07,18.944,250.266
2016-05-16,-0.3131298,20.95218485,540904.4385,513314.99,1215508.7985,-1589,6,6,42.61,0.762,-509.182,713,170,170,92.39,31.195,2046.585,-3018,151,151,147.65,33.522,-5274.272,92,67,67,709.13,31.49,603.13,659,-134,-134,43.11,23.919,2.441
2016-05-13,0.30504015,21.26531465,568881.8665,539382.76,1209373.9665,-1595,-71,-71,42.55,8.946,153.724,543,213,213,90.0,56.5515,113.6085,-3169,59,59,148.79,12.626,3539.604,25,54,54,711.93,33.075,-20.555,793,-159,-159,43.98,27.03,-735.98
2016-05-12,-0.1364018,20.9602745,569461.015,567351.78,1208512.995,-1524,-158,-158,42.59,24.332,-415.272,330,208,208,92.72,32.344,-792.124,-3228,-248,-248,149.21,53.94,365.62,-29,61,61,717.06,41.724,-92.274,952,-78,-78,44.84,11.388,-429.968
2016-05-11,0.25103755,21.0966763,582375.423,568874.24,1208339.983,-1366,-48,-48,42.19,6.36,-625.6,122,136,136,93.48,23.528,-142.708,-2980,-44,-44,149.71,9.46,3018.7,-90,36,36,723.41,17.604,684.216,1030,-135,-135,44.66,18.8325,-424.2325
2016-05-10,-0.88598885,20.84563875,581220.7475,581546.76,1215006.1075,-1318,-114,-114,41.5,14.193,-877.873,-14,102,102,93.33,16.218,-80.118,-2936,-154,-154,148.24,24.563,-7607.643,-126,27,27,716.75,14.4585,-1413.6885,1165,-42,-42,44.34,6.216,1119.434
2016-05-09,-0.10219675,21.7316276,582632.706,580603.44,1216211.376,-1204,-83,-83,41.51,12.035,115.005,-116,85,85,93.0,15.3,-47.22,-2782,-80,-80,147.7,22.0,-128.3,-153,27,27,712.0,21.2625,-317.3625,1207,-70,-70,44.31,9.45,-644.09
2016-05-06,-0.4397682,21.83382435,589302.5035,581691.55,1227705.6235,-1121,-78,-78,40.86,9.828,-544.498,-201,73,73,93.37,12.3735,82.6565,-2702,-161,-161,144.86,30.9925,-2505.8425,-180,35,35,698.38,15.05,-1652.5,1277,-13,-13,43.81,1.898,222.502
2016-05-05,-0.7458832,22.27359255,578920.0455,589007.97,1224984.7155,-1043,-111,-111,40.64,15.5955,-461.1955,-274,41,41,94.0,8.364,259.726,-2541,-179,-179,145.95,33.0255,-5369.7455,-215,34,34,697.7,21.658,-1321.608,1290,43,43,44.78,6.149,-566.009
2016-05-04,-0.1354168,23.01947575,598743.5275,578571.25,1233005.7975,-932,-77,-77,40.81,9.933,627.997,-315,32,32,95.2,6.496,304.714,-2362,-97,-97,143.36,19.4,-377.53,-249,42,42,690.49,16.464,-769.584,1247,-6,-6,44.88,0.855,-1139.765
2016-05-03,0.2542851,23.15489255,573793.7455,598437.42,1229330.3755,-855,-95,-95,41.32,12.445,352.355,-347,17,17,94.2,3.128,-547.028,-2265,-228,-228,144.65,52.098,2388.642,-291,9,9,696.87,5.238,1709.172,1253,40,40,45.77,5.86,-1360.29
2016-05-02,-0.0468963,22.90060745,596855.4645,573345.16,1226823.4645,-760,-30,-30,41.2,4.17,-596.17,-364,38,38,93.96,7.999,20.041,-2037,-26,-26,146.56,6.695,1374.215,-300,39,39,697.63,20.709,-1760.889,1213,-72,-72,46.54,10.08,493.84
2016-04-29,0.13976445,22.94750375,573187.5075,596394.27,1229051.5775,-730,-100,-100,40.92,13.6,150.2,-402,-15,-15,93.99,4.2225,421.3575,-2011,-227,-227,146.49,61.971,2078.799,-339,1,1,690.7,1.331,-675.621,1285,19,19,46.52,2.831,-577.091
2016-04-28,1.15707255,22.8077393,585429.563,571724.97,1216314.713,-630,-42,-42,41.25,5.691,232.449,-387,14,14,97.61,3.521,1156.549,-1784,-7,-7,149.75,1.3335,6059.2265,-340,23,23,708.26,21.4015,4961.7385,1266,-115,-115,46.79,17.5375,-839.2375
2016-04-27,0.03677275,21.65066675,568521.8675,584951.02,1218835.6175,-588,-59,-59,41.35,7.729,-158.839,-401,-89,-89,96.0,15.0855,1860.2945,-1777,-84,-84,149.35,16.338,-2463.688,-363,-3,-3,707.29,3.711,828.639,1381,-47,-47,46.89,6.439,301.321
2016-04-26,0.58006575,21.613894,575901.76,567358.35,1210518.91,-529,-12,-12,41.82,1.398,164.872,-312,-42,-42,103.91,6.594,172.026,-1693,23,23,148.65,4.3585,-457.7885,-360,19,19,725.42,9.823,5350.647,1428,-122,-122,46.71,17.019,570.901
2016-04-25,-0.2545765,21.03382825,566177.8425,575558.53,1214105.8725,-517,-49,-49,41.71,5.9535,77.5265,-270,-58,-58,105.0,11.194,111.366,-1716,-27,-27,148.16,7.425,-548.565,-379,-7,-7,716.1,8.5785,-1687.2885,1550,-136,-136,46.63,18.564,-498.804
2016-04-22,1.59817335,21.28840475,564865.0875,564496.52,1208553.0275,-468,-8,-8,41.98,1.032,60.208,-212,-49,-49,105.01,8.3545,6.0855,-1689,142,142,149.44,40.186,1291.134,-372,-30,-30,726.3,19.35,14013.09,1686,-274,-274,46.69,37.264,611.216
2016-04-21,-0.84102365,19.6902314,548626.344,563247.53,1203209.874,-460,-15,-15,41.5,1.785,-190.685,-163,-55,-55,106.93,11.0825,166.9975,-1831,134,134,146.58,34.84,-5938.71,-342,-33,-33,755.38,16.698,-2140.008,1960,-331,-331,46.79,49.981,-307.831
2016-04-20,-0.1331275,20.53125505,552753.5905,547602.62,1207437.5505,-445,35,35,41.42,4.5675,-58.6675,-108,-55,-55,106.64,10.3675,-48.9775,-1965,169,169,144.24,53.573,-4240.283,-309,-32,-32,758.0,36.112,483.468,2291,-393,-393,45.74,53.055,2533.185
2016-04-19,2.300629,20.66438255,523435.1655,551205.29,1197111.3755,-480,11,11,41.18,1.562,-43.332,-53,-69,-69,107.88,13.8345,43.9755,-2134,-38,-38,146.47,6.935,17965.805,-277,-35,-35,769.51,22.3125,3591.5475,2684,-333,-333,45.42,50.616,1448.294
2016-04-18,-0.34614375,18.36375355,527141.0155,522092.84,1187050.4055,-491,23,23,40.72,2.6795,-194.7095,16,-101,-101,108.89,23.0785,-157.9585,-2096,84,84,151.75,13.188,-1713.468,-242,-9,-9,760.46,4.6395,-1833.1195,3017,-194,-194,44.42,38.412,437.818
2016-04-15,-0.27608195,18.7098973,506832.103,525900.32,1189822.993,-514,-14,-14,40.77,1.785,-68.745,117,-121,-121,112.11,18.513,-280.553,-2180,-95,-95,151.04,20.805,-1253.005,-233,-9,-9,753.98,2.9745,-1347.3545,3211,-292,-292,46.45,47.742,188.838
2016-04-14,0.2129907,18.98597925,499478.9725,505205.74,1188929.4525,-500,6,6,40.86,1.05,-47.07,238,-141,-141,111.62,24.957,-69.897,-2085,-16,-16,151.5,2.88,147.39,-224,-2,-2,754.01,1.212,-328.152,3503,-422,-422,44.14,83.134,2427.636
2016-04-13,0.45879125,18.77298855,475526.5455,498212.39,1189883.3455,-506,-13,-13,39.52,1.612,-480.242,379,-196,-196,110.8,37.632,639.328,-2069,3,3,150.75,0.5295,-3314.2895,-222,-26,-26,749.16,19.266,-1777.306,3925,-584,-584,42.55,82.928,9520.422
2016-04-12,0.2067671,18.3141973,457790.363,474098.63,1184319.093,-493,-11,-11,39.47,1.4575,-168.4175,575,-186,-186,109.34,35.154,840.866,-2072,-65,-65,149.61,15.3725,-779.3325,-196,-14,-14,738.0,7.665,-1351.105,4509,-432,-432,41.28,60.48,3525.66
2016-04-11,0.44651085,18.1074302,435418.772,456013.98,1177570.892,-482,-9,-9,39.86,1.1565,64.3835,761,-196,-196,108.97,35.28,299.44,-2007,-36,-36,150.26,6.966,226.494,-182,-19,-19,743.02,11.305,617.325,4941,-368,-368,40.74,53.544,3257.466
2016-04-08,-0.0499684,17.66091935,423643.5835,433837.74,1176324.1735,-473,9,9,39.69,1.2825,-36.3725,957,-263,-263,108.91,56.545,155.605,-1971,26,26,149.06,4.68,-2193.84,-163,-22,-22,743.97,13.992,251.378,5309,-633,-633,40.86,111.7245,1323.5455
2016-04-07,-0.8731276,17.71088775,380831.1275,422016.94,1174551.2075,-482,-34,-34,39.89,5.236,354.004,1220,-343,-343,109.95,64.827,-3363.657,-1997,-45,-45,149.07,9.765,3482.175,-141,-47,-47,745.37,29.798,717.972,5942,-682,-682,41.3,92.07,-9921.77
2016-04-06,0.28390035,18.58401535,357352.2535,379369.1,1187432.4735,-448,0,0,39.29,0.0,-439.04,1563,-306,-306,110.23,50.643,1875.327,-1952,-108,-108,149.9,21.33,-71.17,-94,-15,-15,735.77,7.0725,-779.1825,6624,-549,-549,41.53,76.311,2253.069
2016-04-05,-0.35910565,18.300115,321813.79,355337.96,1180137.87,-448,-32,-32,39.73,4.352,322.688,1869,-480,-480,109.51,94.08,-3315.27,-1844,-35,-35,151.43,6.3175,3788.3625,-79,-42,-42,738.0,25.977,259.553,7173,-940,-940,41.45,127.84,-4646.39
2016-04-04,0.0183064,18.65922065,263436.2665,320108.4,1185798.3265,-416,-78,-78,40.32,11.232,114.348,2349,-405,-405,110.42,76.95,2751.57,-1809,-164,-164,152.34,38.622,745.908,-37,-66,-66,750.06,50.622,130.218,8113,-846,-846,42.36,139.59,-3558.98
2016-04-01,0.64641425,18.64091425,223860.2825,260960.23,1189969.0925,-338,-31,-31,39.56,3.782,-168.252,2754,-386,-386,108.78,58.286,2614.654,-1645,-245,-245,150.51,70.315,-2060.765,29,-34,-34,738.6,20.247,-92.307,8959,-761,-761,41.52,104.6375,6170.8125
2016-03-31,-0.74333185,17.9945,165260.36,221989.07,1182219.88,-307,-94,-94,40.01,12.643,59.907,3140,-344,-344,109.72,65.704,-1800.464,-1400,-365,-365,149.79,74.6425,-3826.9425,63,-99,-99,749.25,55.143,-533.403,9720,-368,-368,41.83,50.416,-1332.416
2016-03-30,1.1035751,18.73783185,96160.0285,163794.93,1185733.2985,-213,-149,-149,40.36,23.1695,15.1505,3484,-396,-396,108.65,97.218,6836.822,-1035,-412,-412,149.95,87.756,1119.884,162,-111,-111,750.1,113.7195,1411.0305,10088,-303,-303,41.98,39.996,1652.864
2016-03-29,0.9392551,17.63425675,28378.3275,94466.97,1177478.4275,-64,-166,-166,39.35,21.663,-90.843,3880,-220,-220,104.89,34.43,9560.77,-623,-441,-441,147.59,75.411,-1012.011,273,-70,-70,734.59,29.715,3113.005,10391,-378,-378,41.78,47.25,-2178.37
2016-03-28,-0.32060265,16.69500165,1830.5065,26890.5,1167068.3165,102,-103,-103,39.54,13.184,7.326,4100,77,77,106.0,12.936,-2006.346,-182,-383,-383,147.75,109.7295,-268.2295,343,-30,-30,736.79,13.125,-575.535,10769,484,484,42.1,70.422,-363.242
2016-03-24,-0.6686608,17.0156043,1604.733,0.0,1170156.043,205,-108,-108,39.16,14.148,-55.828,4023,189,189,105.47,29.9565,-1755.7965,201,-241,-241,144.98,59.045,352.285,373,-29,-29,732.01,16.7765,-1221.7065,10285,972,972,41.78,156.492,-4005.562
2016-03-23,-1.4136101,17.6842651,2027.391,0.0,1176842.651,313,-121,-121,39.9,15.73,-141.64,3834,131,131,106.48,26.724,-2257.344,442,-179,-179,148.0,30.788,-1242.088,402,-13,-13,742.36,6.201,-1066.651,9313,618,618,43.28,84.048,-9428.378
2016-03-22,0.0250137,19.0978752,1916.222,0.0,1190978.752,434,-40,-40,39.56,5.0,91.22,3703,108,108,105.25,24.354,3046.356,621,-148,-148,148.06,29.526,-443.016,415,-13,-13,737.46,7.137,-623.427,8695,512,512,43.27,77.056,-1820.996
2016-03-21,0.33023915,19.0728615,2498.275,0.0,1190728.615,474,-40,-40,40.07,6.42,-267.18,3595,-2,-2,105.93,0.331,-36.261,769,-159,-159,147.3,31.8,1185.85,428,24,24,736.5,14.604,1933.516,8183,177,177,43.43,23.9835,486.4665
2016-03-18,0.62379765,18.74262235,2703.1635,0.0,1187426.2235,514,-15,-15,39.33,2.1375,461.0625,3597,-33,-33,106.34,5.7915,443.6685,928,-188,-188,147.4,45.778,68.302,404,47,47,741.86,21.3145,-285.7945,8006,-66,-66,43.43,11.682,5550.738
2016-03-17,0.7224654,18.1188247,2980.537,0.0,1181188.247,529,-54,-54,39.06,8.316,159.994,3630,-270,-270,105.52,50.22,-788.82,1116,-249,-249,144.78,59.3865,2449.1235,357,102,102,736.45,76.296,490.314,8072,-217,-217,41.99,38.5175,4914.0425
2016-03-16,0.7164549,17.3963593,2569.483,0.0,1173963.593,583,2,2,38.09,0.263,402.407,3900,-257,-257,104.61,42.7905,5385.9195,1365,-230,-230,142.62,43.585,2376.165,255,95,95,726.37,45.22,2119.78,8289,-229,-229,42.13,30.3425,-3119.7225
2016-03-15,0.7625115,16.6799044,2477.874,0.0,1166799.044,581,-16,-16,38.59,2.208,-433.218,4157,-220,-220,103.96,34.43,8845.79,1595,-198,-198,141.74,41.085,40.095,160,72,72,726.92,44.46,-133.02,8518,-24,-24,42.26,3.252,-694.532
2016-03-14,-0.09015555,15.9173929,2374.149,0.0,1159173.929,597,-83,-83,38.98,12.2425,-158.3625,4377,-73,-73,101.91,10.147,1102.323,1793,-187,-187,142.01,41.2335,646.3765,88,58,58,726.81,34.22,289.32,8542,-97,-97,42.66,15.7625,-2781.2125
2016-03-11,2.39833375,16.00754845,3274.0745,0.0,1160075.4845,680,19,19,38.43,2.7455,838.7045,4450,96,96,102.24,19.632,4728.148,1980,-88,-88,141.73,23.672,4408.448,30,11,11,720.0,8.294,332.726,8639,297,297,42.27,52.569,13675.311
2016-03-10,0.1113169,13.6092147,21928.147,0.0,1136092.147,661,43,43,38.17,5.246,-106.116,4354,253,253,101.41,41.8715,102.4585,2068,-53,-53,141.24,13.091,-424.061,19,46,46,708.12,31.464,-19.924,8342,457,457,41.61,64.2085,1560.8115
2016-03-09,0.2849643,13.4978978,55768.258,18858.69,1135161.768,618,71,71,38.31,11.076,-1.976,4101,329,329,101.31,55.272,221.698,2121,63,63,139.31,15.5295,2811.4905,-27,51,51,698.47,52.1475,-585.9375,7885,807,807,41.36,133.962,404.368
2016-03-08,-1.62457025,13.2129335,100160.605,53710.02,1132548.975,547,35,35,38.97,4.76,-721.64,3772,344,344,100.78,66.564,-2860.084,2058,2,2,139.71,0.564,-2222.324,-78,61,61,688.59,70.7295,422.8605,7078,558,558,42.15,79.515,-10864.515
